customer_state,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,days_until_delivery
RJ,SP,1825,53,10,40,9
RJ,SP,700,65,18,28,9
RJ,SP,1825,53,10,40,11
RJ,SP,1825,53,10,40,12
RJ,SP,1825,53,10,40,14
RJ,SP,200,45,15,35,20
RJ,SP,17150,58,61,24,17
RJ,SP,550,60,10,40,32
SP,SP,950,45,15,35,6
SP,SP,950,45,15,35,6
SP,SP,950,45,15,35,8
SP,SP,950,45,15,35,14
SP,SP,15467,64,62,25,15
MG,SP,1825,53,10,40,11
SP,SP,15925,44,57,27,30
SP,SP,11880,50,60,27,12
SP,SC,10150,89,15,40,7
MG,SP,1825,53,10,40,16
RJ,SP,5350,40,20,40,9
SP,SP,16167,64,62,25,13
RS,SP,2600,40,45,39,29
SP,SP,11880,50,60,27,25
SP,SP,7100,37,41,37,11
RJ,SP,8633,42,64,43,19
MG,SP,700,65,18,28,32
MG,SP,950,45,15,35,14
SP,SP,21200,45,15,25,9
SP,SP,13550,58,55,24,9
MG,SP,9125,57,55,22,22
SP,SP,19800,45,15,35,11
SP,SP,13550,58,55,24,12
SP,SP,7575,52,52,17,6
BA,SP,10500,52,50,16,34
SP,SP,950,45,15,35,14
RJ,SP,11875,57,55,22,46
RJ,SP,11875,57,55,22,18
RS,SP,2600,40,45,39,14
SP,SP,27200,48,45,56,11
RS,SP,8975,35,52,36,23
SP,SP,9750,42,41,42,18
MG,SP,1825,53,10,40,13
SP,SC,10150,89,15,40,6
SP,SP,13350,57,56,22,19
PR,SP,7480,53,48,26,18
RJ,SP,11875,57,55,22,23
MG,SP,1825,53,10,40,16
MG,SP,20100,45,15,35,11
SP,SP,13350,57,56,22,22
MG,SP,12650,54,54,18,9
BA,SP,9725,53,52,17,28
SP,SP,8975,35,52,36,30
RJ,SP,16650,63,61,24,31
SP,SP,10500,53,73,18,30
RN,SP,10667,58,58,19,32
RJ,SP,13350,57,56,22,29
SP,SP,1150,45,15,35,10
RJ,SP,11875,57,55,22,33
MG,SP,12160,56,51,28,13
SP,SP,10500,53,73,18,13
SP,SP,8633,42,64,43,9
SP,SP,16150,63,62,24,10
CE,SP,11875,57,55,22,51
SP,SP,10500,53,73,18,9
RJ,SP,13350,57,56,22,36
SP,SP,11700,36,54,35,10
SP,SP,7125,52,52,17,7
SP,SP,9150,35,52,35,11
SP,SP,950,45,15,35,7
RJ,SP,9550,57,54,22,26
RJ,SP,1825,53,10,40,14
CE,SP,2600,40,45,39,30
SP,SP,11100,37,41,37,30
PR,SP,950,45,15,35,5
MG,SP,13350,57,56,22,20
RJ,SP,10475,52,51,17,13
SP,SP,7400,54,53,20,30
SP,SP,22800,48,45,56,11
SP,SP,1550,44,14,34,6
SP,SP,13350,57,56,22,5
SP,SP,9150,35,52,35,16
RJ,SP,1825,44,14,34,18
RN,SP,8267,52,52,17,22
SP,SP,16650,63,58,24,10
RS,SC,10150,89,15,40,9
RJ,SP,13388,54,47,28,31
SP,SP,13867,101,8,57,22
SP,SP,15467,64,62,25,14
SP,SP,10475,52,51,17,27
RJ,SP,9725,53,52,17,19
MG,SP,8975,35,52,36,31
SP,SP,1383,50,10,40,5
MG,SP,9000,52,51,17,10
BA,SP,16650,63,61,24,27
CE,SP,9150,35,52,35,31
BA,SP,13388,54,47,28,19
SP,SP,800,45,15,35,6
RJ,SP,16133,63,59,25,30
SP,SP,12650,54,54,18,16
BA,SP,11875,57,55,22,12
SP,SP,12700,55,70,18,4
PR,SP,9200,53,52,17,45
SP,SP,16650,63,58,24,14
SP,SP,16400,45,15,35,5
SP,SP,13867,101,8,57,14
BA,SP,7320,53,53,19,37
RS,SP,8683,54,64,31,44
MS,SP,800,30,10,20,13
SP,SP,6025,57,55,22,13
SP,SP,7433,57,68,31,13
RJ,SP,8300,53,51,18,24
RJ,SP,1383,50,10,40,7
SP,SP,675,40,18,35,4
SE,SP,10725,57,55,22,23
AL,SP,20100,45,15,25,7
BA,SP,13388,54,47,28,21
AL,SP,18000,45,15,35,7
SP,SP,12675,48,49,40,6
SP,SP,13350,57,56,22,13
RJ,SP,9725,53,52,17,28
SP,SP,16800,45,15,35,7
SP,SP,200,45,15,35,7
SC,SP,1825,53,10,40,16
SP,SP,500,45,15,35,8
BA,SP,7125,52,52,17,14
PR,SP,1825,44,14,34,8
RJ,SP,8975,35,52,36,7
SC,SP,800,45,15,35,14
RJ,SP,12250,63,58,24,20
SP,SP,16650,63,61,24,13
BA,SP,6800,45,55,16,30
RJ,SP,14033,101,8,57,75
SP,SP,17033,101,8,57,31
SP,SP,13388,54,47,28,12
MG,SP,8450,53,50,16,16
RJ,SP,1800,40,10,30,17
RJ,SP,8425,53,53,18,21
SP,SP,9750,42,41,42,16
SP,SP,1900,45,15,35,13
SP,SP,450,45,15,35,13
MG,SP,11880,50,60,27,26
SP,SP,11700,36,54,35,33
SP,SP,16800,63,58,24,14
SP,SP,16650,63,58,24,14
SC,SP,500,45,15,35,19
RJ,SP,11875,57,55,22,10
RJ,SP,13350,57,56,22,20
MS,SP,15150,63,30,43,12
SP,SP,13350,57,56,22,21
MG,SP,2600,40,45,39,10
RN,SP,11875,57,55,22,27
PR,SP,2600,40,45,39,17
SP,SP,900,45,15,35,11
SP,SP,9200,53,52,17,7
MG,SP,1350,45,15,35,10
RS,SC,10150,89,15,40,28
MG,SP,16800,63,58,24,21
SP,SP,16133,63,59,25,18
SP,SP,12700,55,70,18,20
RJ,SP,7400,54,53,20,18
SP,SP,11875,57,55,22,19
RJ,SP,13350,57,56,22,23
SP,SP,500,45,15,35,17
SP,SP,12275,40,54,38,21
CE,SP,8450,53,50,16,19
MG,SP,8750,52,51,17,29
SP,SP,15475,81,7,83,8
RJ,SP,1825,53,10,40,11
SP,SP,1300,46,7,51,5
RJ,SP,1383,50,10,40,21
SP,SP,1450,45,15,35,3
MG,SP,9200,53,52,17,28
SP,SP,450,40,15,35,6
MG,SP,8225,55,73,18,15
SP,SP,13388,54,47,28,20
RS,SP,950,45,15,35,12
SP,SP,15925,44,57,27,20
SP,SP,16133,63,59,25,4
SP,SP,11875,57,55,22,23
MG,SP,2600,40,45,39,17
RS,SP,2150,40,10,30,12
BA,SP,1383,50,10,40,5
MG,SP,16650,63,58,24,28
MA,SP,16133,63,59,25,31
CE,SP,1850,45,15,35,27
SP,SP,15475,81,7,83,14
RJ,SP,10975,53,51,18,13
SP,SP,8633,42,64,43,7
MG,SP,800,45,10,34,7
PA,SP,7513,53,62,26,18
MG,SP,2600,40,45,39,21
RJ,SP,1825,44,14,34,19
ES,SP,950,45,15,35,12
MG,SP,800,45,10,34,8
MG,SP,12675,48,49,40,17
SP,SP,13350,57,56,22,12
SP,SP,950,45,15,35,13
ES,SP,12650,54,54,18,22
RJ,SP,16800,63,58,24,16
SP,SP,450,45,15,35,7
SC,SP,1600,45,15,35,33
MG,SP,450,45,15,35,10
SC,SP,11875,57,55,22,18
PB,SP,1550,44,14,34,11
AM,SP,1383,50,10,40,29
SP,SP,1350,45,15,35,7
RJ,SP,9200,53,52,17,17
PR,SP,4700,37,41,36,33
MG,SP,10075,53,51,18,16
SP,SP,7667,52,52,17,13
SP,SP,10975,53,51,18,15
SP,SP,16617,101,8,57,12
ES,SP,8633,42,64,43,19
SP,SP,16133,63,59,25,14
RJ,SP,15475,81,7,83,23
SP,SP,1850,40,10,30,9
PR,SP,8683,54,64,31,18
RJ,SP,1550,44,14,34,7
MG,SP,10050,100,45,20,24
SP,SP,10475,52,51,17,14
SP,SP,11875,57,55,22,21
SP,SP,10475,52,51,17,8
SP,SP,13867,101,8,57,16
RJ,SP,8225,55,73,18,16
SP,SP,4600,36,10,20,4
SP,SP,800,45,10,34,11
BA,SP,11880,50,60,27,65
MG,SP,2600,40,45,39,29
SP,SP,16133,63,59,25,17
RJ,SP,400,45,15,35,20
RJ,SP,13475,53,65,32,21
PA,SP,11875,57,55,22,23
SP,SP,17033,101,8,57,25
PR,SP,6800,45,55,16,9
SE,SP,13350,57,56,22,27
PA,SP,17000,63,58,24,30
RS,SP,9375,55,54,19,16
RJ,SP,1450,45,15,35,37
RJ,SP,9750,42,41,42,11
MG,SP,8683,54,64,31,13
RS,SP,14925,53,54,18,12
MG,SP,8683,54,64,31,13
SP,SP,15475,81,7,83,25
SP,SP,1383,50,10,40,7
PR,SP,22800,48,45,56,12
BA,SP,11700,36,54,35,27
RS,SP,11875,57,55,22,27
MG,SP,3900,50,10,30,28
RJ,SP,6700,51,63,34,18
SP,SP,1383,50,10,40,5
RJ,SP,8750,52,51,17,28
SP,SP,16133,63,59,25,19
SP,SP,525,39,14,33,5
SP,SP,4600,36,10,20,7
MG,SP,7480,53,48,26,22
SP,SP,1383,50,10,40,8
SP,SP,1825,44,14,34,6
RJ,SP,12275,40,54,38,19
MG,SP,11875,57,55,22,31
SP,SP,1383,50,10,40,6
SP,SP,16133,63,59,25,20
ES,SP,8975,35,52,36,19
CE,SP,16133,63,59,25,39
SP,SP,9725,53,52,17,11
RS,SP,9200,53,52,17,18
SC,SP,11880,50,60,27,29
SP,SP,1383,50,10,40,7
SP,SP,1383,50,10,40,7
SP,SP,1383,50,10,40,7
SP,SP,850,45,15,25,7
SP,SP,9150,52,52,16,16
MG,SP,900,30,10,20,11
GO,SP,18233,47,60,23,14
SP,SP,1383,50,10,40,8
RJ,SP,1550,44,14,34,14
SP,SP,16133,63,59,25,22
SP,SP,8638,51,62,26,10
SC,SP,450,45,15,35,17
RJ,SP,8975,35,52,36,23
SP,SP,7133,52,52,17,21
SP,SP,1825,44,14,34,9
SC,SP,1825,44,14,34,26
SP,SP,1383,50,10,40,9
MG,SP,1383,50,10,40,9
SP,SP,16133,63,59,25,23
SP,SP,16133,63,59,25,23
BA,SP,950,45,15,35,23
SP,SP,16125,81,7,83,9
PR,SP,16133,63,59,25,15
PR,SP,2100,45,15,35,9
SP,SP,9125,57,55,22,9
SP,SP,1975,41,13,31,7
SP,SP,1383,50,10,40,11
SP,SP,1383,50,10,40,11
SP,SP,1383,50,10,40,11
SP,SP,10750,53,74,18,20
PR,SP,16133,63,59,25,16
SC,SP,9375,55,54,19,14
SP,SP,11880,50,60,27,12
RJ,SP,1383,50,10,40,15
PA,SP,11880,50,60,27,32
SP,SP,8900,53,50,16,19
SC,SP,10075,55,64,26,20
PA,SP,16133,63,59,25,20
SP,SP,15475,81,7,83,33
SP,SP,1975,41,13,31,9
PR,SP,1825,53,10,40,11
SP,SP,3775,35,13,25,7
SP,SP,1383,50,10,40,13
MG,SP,10075,55,64,26,18
PE,SP,2600,40,45,39,26
MG,SP,8300,53,51,18,13
MG,SP,11875,57,55,22,27
MG,SP,6800,45,55,16,12
ES,SP,16133,63,59,25,20
SP,SP,500,50,10,45,7
SP,SP,16167,64,62,25,14
SP,SP,1383,50,10,40,14
SP,SP,8925,53,74,18,15
PR,SP,11800,53,54,18,22
ES,SP,8217,52,52,17,16
SC,SP,8633,42,64,43,24
BA,SP,16133,63,59,25,29
BA,SP,16133,63,59,25,29
PB,SP,2600,40,45,39,27
SP,SP,10075,53,51,18,31
SP,SP,16167,64,62,25,15
PR,SP,1825,53,10,40,13
ES,SP,3150,45,15,35,8
SP,SP,1825,44,14,34,15
SP,SP,1825,44,14,34,15
PR,SP,12160,56,51,28,20
SP,SP,8500,45,15,35,7
RS,SP,15467,64,62,25,10
SP,SP,7760,54,52,34,12
MG,SP,8683,54,64,31,24
SP,SP,11875,57,55,22,18
SP,SP,9375,55,54,19,14
RJ,SP,2250,45,15,35,22
PR,SP,13388,54,47,28,25
RJ,SP,14925,53,54,18,22
SP,SP,16133,63,59,25,30
RS,SP,9125,57,55,22,9
SP,SP,17150,58,61,24,9
SP,SP,3600,50,10,30,8
SC,SP,7433,57,68,31,24
MG,SP,8683,54,64,31,25
RJ,SP,9200,53,52,17,34
SP,SP,2600,40,45,39,12
RJ,SP,1300,45,15,35,10
SP,SP,3900,50,10,30,8
PE,SP,3500,45,15,35,16
PA,SP,300,45,15,35,20
PB,SP,9725,53,52,17,38
SP,SP,10975,53,51,18,21
SP,SP,2600,40,45,39,13
SP,SP,2600,40,45,39,13
SP,SP,2600,40,45,39,13
RJ,SP,16133,63,59,25,22
BA,SP,20900,23,55,58,24
SP,SP,16650,63,61,24,15
SP,SP,9725,53,52,17,23
PR,SP,1825,53,10,40,17
MA,SP,9725,53,52,17,28
PR,SP,13350,57,56,22,22
SC,SP,9725,53,52,17,23
SP,SP,14775,63,60,25,17
SP,SP,8750,52,51,17,28
PR,SP,16133,63,59,25,24
RJ,SP,12650,54,54,18,22
PE,SP,2600,40,45,39,33
SP,SP,16133,63,59,25,34
SC,SP,10075,55,64,26,28
PB,SP,1825,53,10,40,33
PR,SP,8900,56,57,22,26
ES,SP,30000,48,45,56,17
MG,SP,13350,57,56,22,19
SP,SP,8683,54,64,31,8
SC,SP,9375,55,54,19,22
RJ,SP,1350,33,10,29,5
SP,SP,9200,53,52,17,14
SP,SP,7513,53,62,26,9
ES,SP,13388,54,47,28,48
SP,SP,10075,55,64,26,13
DF,SP,1600,45,15,35,8
GO,SP,8975,35,52,36,13
ES,SP,10075,55,64,26,23
SP,SP,16650,63,61,24,20
DF,SP,8750,52,51,17,15
ES,SP,700,65,18,28,22
SP,SP,8638,51,62,26,10
MA,SP,7463,56,64,35,32
SP,SP,13867,101,8,57,8
MG,SP,1825,44,14,34,17
PA,SP,12275,40,54,38,21
PA,SP,11700,36,54,35,22
RJ,SP,675,40,18,35,25
PE,SP,10025,57,55,22,14
MS,SP,7433,57,68,31,31
SP,SP,10025,57,55,22,28
PI,SP,16450,63,62,24,30
SP,SP,11880,50,60,27,32
SP,SP,9725,53,52,17,20
ES,SP,9675,42,47,33,25
SP,SP,7463,56,64,35,12
RJ,SP,1000,40,10,30,9
DF,SP,1975,41,13,31,11
PE,SP,1700,45,15,35,26
RS,SP,12160,56,51,28,21
GO,SP,8217,52,52,17,20
CE,SP,13350,57,56,22,32
RJ,SP,2000,45,15,35,33
PE,SP,17150,58,61,24,17
SP,SP,1550,44,14,34,6
RS,SP,1825,53,10,40,7
RJ,SP,8750,52,51,17,30
PR,SP,16167,64,62,25,31
SP,SP,2400,45,15,35,8
MG,SP,1350,45,15,35,9
SP,SP,2100,45,15,35,7
RJ,SP,16650,63,58,24,30
PR,SP,1350,45,15,35,26
SP,SP,1500,45,15,35,7
MG,SP,8450,53,50,16,25
SP,SP,13388,54,47,28,13
PR,SC,10150,89,15,40,12
PB,SP,3000,45,15,35,14
PR,SP,10475,52,51,17,24
RS,SP,950,45,15,35,17
RS,SP,11875,57,55,22,25
SP,SP,3775,35,13,25,24
SP,SP,6050,40,32,40,10
RJ,SP,8750,52,51,17,26
SP,SP,1825,53,10,40,5
RJ,SP,12275,40,54,38,22
SP,SP,2050,45,15,35,7
MG,SP,8750,52,51,17,13
DF,SP,11875,57,55,22,22
SP,SP,8700,52,51,17,15
RJ,SP,550,30,5,20,10
MG,SP,7725,53,51,18,18
SP,SP,2250,45,15,35,10
SP,SP,1383,50,10,40,31
MT,SP,8450,53,50,16,21
SP,SP,1825,53,10,40,6
RJ,SP,16150,63,62,24,25
SP,SP,1550,44,14,34,10
SP,SP,1850,45,15,35,8
SP,SP,1200,45,15,35,22
SP,SP,1825,53,10,40,7
RS,SC,10150,89,15,40,16
PE,SP,1550,45,15,35,26
DF,SP,1350,45,15,35,18
RJ,SP,12650,54,54,18,20
GO,SP,11875,57,55,22,31
MG,SP,1900,45,15,35,15
SP,SP,1825,53,10,40,9
RS,SP,600,60,9,50,14
GO,SP,9725,53,52,17,21
RJ,SP,11880,50,60,27,22
RJ,SP,22900,74,68,26,15
MG,SP,2450,45,15,35,27
SP,SP,1825,53,10,40,4
RS,SP,1825,53,10,40,15
SP,SP,11880,50,60,27,15
SP,SP,12700,55,70,18,5
SP,SP,8217,52,52,17,7
MG,SP,16250,57,55,22,12
MG,SP,7575,52,52,17,23
RJ,SP,12475,53,54,18,16
RS,SP,13350,57,56,22,31
SP,SP,7725,53,51,18,14
SP,SP,7725,53,51,18,14
RJ,SP,16400,63,60,25,52
SP,SP,10475,52,51,17,19
SP,SP,19400,48,45,56,12
SP,SP,2000,45,15,35,14
RS,SP,550,50,9,60,17
PB,SP,1383,50,10,40,23
SP,SP,1383,50,10,40,8
MG,SP,12275,40,54,38,21
SP,SP,1825,53,10,40,13
SP,SP,1383,50,10,40,8
RS,SP,7563,58,65,30,28
DF,SP,15475,81,7,83,15
RJ,SP,7463,56,64,35,37
BA,SP,2600,40,45,39,15
PA,SP,8683,54,64,31,18
SC,SP,17050,63,62,24,19
SP,SP,14550,56,60,36,18
PA,SP,3300,40,15,35,33
SP,SP,3875,35,52,34,11
PB,SP,1825,44,14,34,25
SP,SP,2600,40,45,39,15
SP,SP,8809,52,52,17,25
RS,SP,11875,57,55,22,29
SP,SP,17050,63,62,24,13
RJ,SP,13867,101,8,57,67
