customer_state,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,days_until_delivery
MG,SP,9200,53,52,17,24
PR,SP,16100,63,61,24,32
MG,SP,8683,54,64,31,21
RJ,SP,6250,60,10,40,8
SP,SP,8683,54,64,31,28
PR,SP,2250,45,15,35,69
ES,SP,7463,56,64,35,18
SP,SP,1383,50,10,40,12
MG,SP,1383,50,10,40,13
MG,SP,9725,53,52,17,22
SP,SP,16167,64,62,25,12
RJ,SP,7400,54,53,20,28
GO,SP,8975,35,52,36,13
SP,SP,8900,37,41,37,19
MG,SP,1825,44,14,34,35
MA,SP,1825,44,14,34,65
RJ,SP,23900,66,42,66,14
BA,SP,10075,55,64,26,65
RJ,SP,10075,55,64,26,19
MT,SP,550,47,20,30,12
MT,SP,300,37,20,20,12
MT,SP,300,40,15,35,12
RJ,SP,13699,46,53,29,14
BA,SP,2600,40,45,39,19
SP,SP,16150,81,7,80,16
RJ,SP,17000,63,30,43,20
RJ,SP,11875,57,55,22,36
RJ,SP,8267,52,52,17,16
SP,SP,7463,56,64,35,30
SP,SP,7463,56,64,35,30
SP,SP,7463,56,64,35,30
BA,SP,3600,50,10,30,21
GO,SP,700,65,18,28,11
SP,SP,8450,53,50,16,11
RJ,SP,7417,102,46,11,43
RJ,SP,13483,48,29,40,9
RJ,SP,13483,48,29,40,9
SP,SP,17050,63,62,24,17
PI,SP,16133,63,59,25,194
SP,SP,16450,63,62,24,17
SP,SP,8217,52,52,17,17
SP,SP,16150,81,7,80,18
SP,SP,11875,57,55,22,6
AL,SP,1825,53,10,40,36
SP,SP,17050,63,62,24,18
RJ,SP,7513,53,62,26,13
SP,SP,350,45,15,35,17
PA,SP,11700,36,54,35,43
RJ,SP,1350,45,15,35,42
RJ,SP,9183,52,52,18,23
BA,SP,1100,45,15,35,24
BA,SP,900,24,5,20,24
SP,SP,15475,81,7,83,23
RJ,SP,13867,101,8,57,46
SP,SP,16133,63,59,25,21
ES,SP,8975,57,57,22,19
RJ,SP,950,45,15,35,42
SP,SP,2600,40,45,39,14
SP,SP,8809,52,52,17,31
ES,SP,8683,54,64,31,23
MG,SP,12250,63,58,24,14
MG,SP,7513,53,62,26,12
SP,SP,7433,57,68,31,16
SP,SP,8217,52,52,17,16
RJ,SP,8683,54,64,31,17
GO,SP,7400,54,53,20,19
RJ,SP,13050,45,15,35,9
BA,SP,11875,57,55,22,34
SP,SP,7480,53,48,26,16
CE,SP,8267,52,52,17,23
RJ,SP,10075,55,64,26,26
SP,SP,5200,45,15,35,11
RJ,SP,16650,63,61,24,72
RS,SP,9725,53,52,17,14
PR,SP,15150,63,30,43,53
RJ,SP,8200,53,74,18,19
SC,SP,7480,53,48,26,29
MG,SP,16450,63,62,24,38
RJ,SP,300,20,20,20,30
SP,SP,10475,52,51,17,31
SP,SP,950,45,15,35,11
MG,SP,3300,40,15,35,15
SP,SP,16150,81,7,80,24
RJ,SP,8267,52,52,17,22
GO,SP,1600,45,15,35,16
SP,SP,10667,58,58,19,37
SP,SP,10475,52,51,17,6
BA,SP,10475,52,51,17,42
AL,SP,13350,57,56,22,36
ES,SP,2600,40,45,39,15
SP,SP,8217,52,52,17,11
PI,SP,13388,54,47,28,44
RS,SP,1383,50,10,40,11
SP,SP,4950,36,41,36,25
SP,SP,3500,45,15,35,11
PE,SP,1383,50,10,40,18
RS,SP,1383,50,10,40,12
MG,SP,3125,45,55,16,12
SP,SP,10025,57,55,22,21
MT,SP,7183,56,56,18,45
GO,SP,1825,44,14,34,19
RJ,SP,8683,54,64,31,24
BA,SP,7513,53,62,26,22
MA,SP,11880,50,60,27,35
MG,SP,7513,53,62,26,12
SP,SP,9813,45,64,39,16
ES,SP,800,45,15,35,19
BA,SP,7433,57,68,31,22
PR,SP,19067,50,50,52,17
SC,SP,13388,54,47,28,37
RJ,SP,15475,81,7,83,79
MT,SP,17050,63,62,24,38
SP,SP,12160,56,51,28,14
BA,SP,7463,56,64,35,26
SP,SP,950,45,15,35,15
MG,SP,7575,52,52,17,10
BA,SP,8683,54,64,31,27
SP,SP,8267,52,52,17,26
MT,SP,2600,40,45,39,27
SP,SP,700,65,18,28,7
BA,SP,8683,54,64,31,29
MG,SP,700,65,18,28,16
SP,SP,15467,64,62,25,17
SP,SP,5550,45,15,35,18
BA,SP,12775,37,65,36,27
BA,SP,200,45,15,35,38
RJ,SP,1800,45,15,35,13
SP,SP,2150,40,10,30,11
RJ,SP,12700,55,70,18,43
RJ,SP,23375,66,43,66,38
RJ,SP,13867,101,8,57,32
AL,SP,2600,40,45,39,21
RS,SP,1383,50,10,40,21
GO,SP,10500,52,50,16,28
SP,SP,8683,54,64,31,20
SP,SP,8200,52,52,17,29
DF,SP,17033,101,8,57,32
SP,SP,1300,45,15,35,42
RS,SP,1383,50,10,40,22
BA,SP,8000,53,74,18,33
SP,SP,7850,52,51,17,33
RJ,SP,11700,36,54,35,19
SP,SP,16133,63,59,25,20
RS,SP,1825,53,10,40,18
RS,SP,16800,63,58,24,42
SP,SP,12700,55,70,18,12
MG,SP,9300,53,74,18,15
SP,SP,2200,45,15,35,18
BA,SP,11875,57,55,22,24
RJ,SP,12275,40,54,38,20
SP,SP,1825,53,10,40,11
RJ,SP,2600,40,45,39,18
SP,SP,1383,50,10,40,8
SP,SP,12160,56,51,28,24
MT,SP,1383,50,10,40,28
MT,SP,6267,36,40,36,28
SE,SP,1383,50,10,40,21
RJ,SP,11500,48,30,35,21
SP,SP,1383,50,10,40,10
RJ,SP,1383,50,10,40,11
RS,SP,900,30,10,20,31
PR,SP,1825,53,10,40,11
PR,SP,9750,42,41,42,17
RJ,SP,13350,57,56,22,17
DF,SP,17050,63,62,24,49
MG,SP,2600,40,45,39,31
DF,SP,11875,57,55,22,39
RJ,SP,7400,54,53,20,11
GO,SP,1900,45,15,35,35
PR,SP,13388,54,47,28,33
SP,SP,100,45,15,35,12
SP,SP,1383,50,10,40,13
DF,SP,9750,42,41,42,22
MT,SP,3300,40,15,35,13
MG,SP,8975,35,52,36,20
SP,SP,15475,81,7,83,20
SP,SP,12333,55,54,19,18
GO,SP,6000,37,41,37,14
RJ,SP,12325,54,64,18,15
RJ,SP,8750,52,51,17,18
SP,SP,8450,53,50,16,13
SP,SP,7850,52,51,17,12
RJ,SP,2600,40,45,39,28
SP,SP,2150,40,10,30,14
DF,SP,9725,53,52,17,15
GO,SP,3500,45,15,35,12
BA,SP,7433,57,68,31,16
SP,SP,6800,53,58,18,19
RJ,SP,13350,57,56,22,25
SP,SP,5050,45,15,35,8
SP,SP,1850,40,10,30,14
SP,SP,8300,53,51,18,12
RJ,SP,10125,57,55,22,22
RJ,SP,12775,53,52,17,59
BA,SP,10075,55,64,26,19
MG,SP,12700,57,54,21,20
BA,SP,17050,63,62,24,22
SP,SP,3500,45,15,35,41
RJ,SP,9183,52,52,18,33
PR,SP,17050,63,62,24,18
SP,SP,2600,40,45,39,21
SP,SP,2400,40,15,35,10
SP,SP,9150,35,52,35,20
SP,SP,16125,81,7,83,28
SP,SP,11875,57,55,22,16
SP,SP,2400,45,15,35,7
SC,SP,8683,54,64,31,20
SP,SC,10150,89,15,40,10
MG,SP,1825,53,10,40,11
SP,SP,22900,74,68,26,23
GO,SP,16133,63,59,25,26
RS,SC,10150,89,15,40,14
SP,SP,1550,44,14,34,39
RS,SP,1383,50,10,40,17
SP,SP,10075,55,64,26,21
RS,SP,10075,53,51,18,13
SP,SP,10975,53,51,18,6
RJ,SP,10075,53,51,18,19
MT,SP,8683,54,64,31,72
SP,SP,1550,45,15,35,4
RJ,SP,8683,54,64,31,60
SP,SP,7725,53,51,18,10
SP,SP,5850,45,55,16,17
SP,SP,20100,45,15,35,9
PR,SP,7463,56,64,35,18
SP,SP,8809,52,52,17,19
RS,SP,8267,52,52,17,15
SP,SP,1700,45,15,35,13
SP,SP,7463,56,64,35,20
RJ,SP,12700,55,70,18,15
BA,SP,1950,45,15,35,11
DF,SP,28600,41,43,91,20
SP,SP,1050,23,93,118,15
SP,SP,8809,52,52,17,19
MG,SP,7513,53,62,26,21
RJ,SP,16617,101,8,57,56
SP,SP,800,45,15,35,17
SP,SP,12275,40,54,38,14
PA,SP,7433,57,68,31,25
SP,SP,16450,63,62,24,15
MG,SP,17050,63,62,24,20
MA,SP,12675,48,49,40,21
RJ,SP,1550,45,15,35,12
MG,SP,10075,55,64,26,17
BA,SP,700,65,18,28,35
SP,SP,12775,37,65,36,18
CE,SP,11875,57,55,22,49
SP,SP,12275,40,54,38,21
SP,SP,1825,53,10,40,22
PE,SP,5275,37,41,37,21
RJ,SP,16400,57,55,22,23
PR,SP,400,45,15,35,17
RJ,SP,10075,55,64,26,14
SP,SP,1825,44,14,34,19
SP,SP,17050,63,62,24,18
RJ,SP,12500,57,54,21,12
ES,SP,10075,55,64,26,17
PE,SP,12650,54,54,18,40
SC,SP,8450,53,50,16,24
RJ,SP,1383,50,10,40,22
SP,SP,950,45,15,35,7
ES,SP,550,60,7,40,18
RS,SP,10500,53,73,18,13
DF,SP,10475,52,51,17,19
SP,SP,4600,50,23,36,3
MG,SP,11875,57,55,22,16
BA,SP,8450,53,50,16,43
RJ,SP,9650,57,55,22,23
RS,SP,2600,40,45,39,186
BA,SP,16650,63,61,24,18
RJ,SP,1050,45,15,35,11
SP,SP,13350,57,56,22,10
SP,SP,13350,57,56,22,10
BA,SP,1383,50,10,40,9
RJ,SP,11350,63,61,24,30
SP,SP,8683,54,64,31,12
TO,SP,12160,56,51,28,20
MA,SP,10025,57,55,22,38
MG,SP,8750,52,51,17,11
PI,SP,9125,57,55,22,27
SP,SP,11700,36,54,35,20
RJ,SP,9150,35,52,35,15
PA,SP,7563,58,65,30,25
RJ,SP,13350,57,56,22,51
MG,SC,10150,89,15,40,15
SC,SP,15467,64,62,25,21
SP,SP,1825,44,14,34,3
RS,SC,10150,89,15,40,9
BA,SP,9725,53,52,17,26
PR,SP,8200,52,52,17,25
SP,SP,8217,52,52,17,21
RJ,SP,1900,45,15,35,9
MA,SC,10150,89,15,40,17
SP,SP,550,45,15,35,6
SP,SP,13475,53,65,32,18
SP,SP,16800,63,58,24,21
CE,SP,9125,57,55,22,18
SP,SP,1383,50,10,40,7
SP,SP,13350,57,56,22,18
MT,SP,10075,55,64,26,20
BA,SP,2600,40,45,39,16
BA,SP,11875,57,55,22,83
MA,SP,10025,57,55,22,17
SP,SP,7400,54,53,20,20
SP,SP,1383,50,10,40,14
RJ,SP,1383,50,10,40,15
SC,SP,13867,101,8,57,35
SP,SP,10500,53,73,18,40
SP,SP,300,45,15,35,15
RJ,SP,12275,40,54,38,38
SP,SP,400,45,15,35,14
MG,SP,1383,50,10,40,17
SP,SP,16167,64,62,25,17
PR,SP,900,45,15,35,15
SP,SP,1100,45,15,35,11
SP,SP,12650,54,54,18,20
RJ,SP,8633,42,64,43,14
SP,SP,15475,81,7,83,15
BA,SP,2600,40,45,39,21
ES,SP,10475,52,51,17,22
SP,SP,7463,56,64,35,8
SP,SP,9200,52,52,17,20
RJ,SP,9725,53,52,17,24
RJ,SP,8750,52,51,17,19
RJ,SP,8450,53,50,16,20
RJ,SP,17050,63,62,24,12
RS,SP,15817,54,48,30,18
MG,SP,3875,35,52,34,17
SP,SP,550,40,7,50,6
SP,SP,800,45,10,34,6
PA,SP,12650,54,54,18,44
SP,SP,10475,52,51,17,10
SP,SP,16133,63,59,25,17
BA,SP,11875,57,55,22,21
SP,SP,1383,50,10,40,7
SP,SP,800,45,15,35,12
SP,SP,6050,40,32,40,13
MG,SP,10975,53,51,18,19
SP,SP,16133,63,59,25,21
RJ,SP,7463,56,64,35,37
SP,SP,1825,44,14,34,9
RJ,SP,3400,45,15,35,17
RS,SP,12275,40,54,38,19
PE,SP,9725,53,52,17,23
SP,SP,23700,66,42,66,6
RS,SP,8638,51,62,26,25
SP,SP,1750,45,15,35,20
SP,SP,13350,57,56,22,21
PE,SP,7463,56,64,35,26
PB,SP,9725,53,52,17,33
RJ,SP,1975,41,13,31,13
PA,SP,11875,57,55,22,36
SC,SP,12650,54,54,18,21
SP,SP,17050,63,62,24,17
RJ,SP,17150,58,61,24,26
BA,SP,12275,40,54,38,23
MG,SP,1500,60,10,40,28
SC,SP,15475,81,7,83,34
CE,SP,7417,102,46,11,18
CE,SP,900,24,5,20,55
SP,SP,9675,42,47,33,19
SP,SP,6350,45,15,35,11
PR,SP,3550,45,15,35,21
SP,SP,16133,63,59,25,8
SP,SP,16133,63,59,25,65
GO,SP,7463,56,64,35,27
SP,SP,11875,57,55,22,28
SP,SP,8683,54,64,31,11
RJ,SP,16150,63,62,24,33
SP,SP,1700,45,15,35,4
SP,SP,9200,53,52,17,20
CE,SP,8217,52,52,17,26
SP,SP,700,45,15,35,7
RJ,SP,11875,57,55,22,49
SP,SP,14033,101,8,57,22
SP,SP,1800,45,15,35,6
SP,SP,1700,45,15,35,10
RS,SP,1383,50,10,40,18
SP,SP,3300,45,15,35,12
SP,SP,1383,50,10,40,5
SP,SP,1825,44,14,34,6
RJ,SP,11700,36,54,35,19
MG,SP,7125,52,52,17,28
SP,SP,1950,43,10,33,9
RJ,SP,7463,56,64,35,36
SP,SP,1383,50,10,40,12
SP,SP,13350,57,56,22,19
RJ,SP,2600,40,45,39,20
SP,SP,1825,53,10,40,8
MG,SP,7463,56,64,35,19
SP,SP,900,24,5,20,8
MG,SP,5200,45,15,35,16
SP,SP,13350,57,56,22,20
SP,SP,12650,54,54,18,16
CE,SP,800,45,15,35,18
RJ,SP,16125,81,7,83,6
SP,SP,950,45,15,30,7
PR,SP,16167,64,62,25,24
PR,SP,6325,37,41,37,26
PA,SP,1825,44,14,34,18
SP,SP,8000,53,74,18,12
RJ,SP,13867,101,8,57,21
SP,SP,12160,56,51,28,10
SP,SP,8975,35,52,36,5
BA,SP,13388,54,47,28,43
SP,SP,7463,56,64,35,17
SP,SP,20100,45,15,35,5
MG,SP,10125,57,55,22,21
MG,SP,900,45,15,35,11
SP,SP,7450,52,52,17,19
GO,SP,16133,63,59,25,25
SP,SP,2600,40,45,39,29
SP,SP,16650,63,58,24,16
SP,SP,12275,40,54,38,12
RO,SP,15200,78,45,21,50
SP,SP,1825,44,14,34,7
RS,SP,23375,66,43,66,12
AP,SP,2050,45,15,35,19
SP,SP,1383,50,10,40,7
RJ,SP,16167,64,62,25,19
RS,SP,10725,57,55,22,14
MG,SP,1900,45,15,35,21
SP,SP,3775,35,13,25,7
BA,SP,16133,63,59,25,26
SP,SP,250,20,6,11,7
SP,SP,9725,53,52,17,20
ES,SP,900,28,5,20,25
SP,SP,17000,63,58,24,9
MG,SP,11100,37,41,37,9
PR,SP,10750,54,54,18,21
RJ,SP,11880,50,60,27,26
PR,SP,8217,52,52,17,22
SP,SP,1550,44,14,34,7
SP,SP,12550,57,54,21,20
RJ,SP,8633,42,64,43,13
RJ,SP,1383,50,10,40,9
SP,SP,1383,50,10,40,8
RJ,SP,13350,57,56,22,42
SP,SP,1600,45,15,35,14
RJ,SP,2150,40,10,30,40
BA,SP,5050,45,15,35,13
SP,SP,16617,101,8,57,21
SC,SP,700,45,15,35,46
RJ,SP,1383,50,10,40,12
PR,SP,1600,45,15,35,9
PR,SP,3775,35,13,25,12
SP,SP,675,40,18,35,12
SP,SP,1500,26,6,20,8
SP,SP,16125,81,7,83,15
ES,SP,8683,54,64,31,19
SP,SP,1825,44,14,34,15
SP,SP,8900,53,50,16,7
PE,SP,9200,53,52,17,30
SP,SP,2600,40,45,39,10
MG,SP,1975,41,13,31,8
SP,SP,10075,55,64,26,12
SP,SP,8925,53,74,18,22
SP,SP,10025,57,55,22,17
MG,SP,17050,63,62,24,11
PB,SP,17050,63,62,24,44
SC,SP,8683,54,64,31,18
RS,SP,1383,50,10,40,13
SP,SP,20100,45,15,35,6
RN,SP,9200,52,50,16,70
RS,SP,11880,50,60,27,28
MS,SP,8683,54,64,31,16
RJ,SP,9725,53,52,17,28
RJ,SP,450,45,15,35,22
MG,SP,8633,42,64,43,21
SC,SP,300,45,15,35,26
PR,SP,26600,45,15,35,8
RJ,SP,12775,37,65,36,29
MG,SP,11875,57,55,22,25
SP,SC,10150,89,15,40,12
MG,SP,10075,55,64,26,19
SP,SP,10475,52,51,17,28
RJ,SP,200,45,15,35,41
SP,SP,16167,64,62,25,25
SP,SP,16167,64,62,25,26
MG,SP,1383,50,10,40,24
SP,SP,16133,63,59,25,70
PB,SP,1383,50,10,40,15
SP,SP,12160,56,51,28,16
MG,SP,600,45,15,35,16
SP,SP,19400,48,45,56,9
SP,SP,1900,45,15,35,9
SP,SP,8550,40,32,40,15
RJ,SP,350,45,15,35,30
RJ,SP,8217,52,52,17,28
SP,SP,900,24,5,20,9
SP,SP,900,24,5,20,12
SP,SP,900,45,15,35,14
SP,SP,17050,63,62,24,25
SP,SP,7200,52,52,17,20
RJ,SP,8200,53,74,18,29
SP,SP,550,40,7,50,11
MG,SP,1383,50,10,40,10
MG,SP,9200,53,52,17,20
RJ,SP,16800,63,58,24,30
RS,SP,675,40,18,35,19
RJ,SP,2050,45,15,35,32
BA,SP,8750,52,51,17,33
SP,SP,11880,50,60,27,34
